0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1107,2010,248,194,602,517,391,756,97,438,399,244,1160,1158,126,187,138,69,380,393,126,195,20,4.0,1.0,1.0,2.0
1107,2011,235,238,505,410,392,780,90,402,376,235,966,972,118,149,156,85,371,327,124,184,8,8.0,3.0,1.0,1.0
1107,2012,363,245,578,429,428,774,95,393,399,216,1125,1124,132,193,148,79,424,524,115,223,15,3.0,2.0,1.0,3.0
1107,2013,358,213,564,468,362,823,71,308,345,152,1107,1112,143,192,159,78,394,516,143,312,35,3.0,1.0,3.0,2.0
1107,2014,395,163,580,428,290,832,101,312,343,171,860,860,130,184,165,78,376,546,137,361,31,5.0,,5.0,3.0
1107,2015,387,205,544,381,367,776,53,214,333,122,825,825,129,187,140,73,349,493,115,353,12,3.0,,3.0,1.0
1107,2016,478,174,548,391,373,821,46,201,363,118,849,852,127,199,168,97,383,565,84,368,14,5.0,2.0,1.0,7.0
1107,2017,408,174,567,381,299,791,58,332,339,220,706,702,124,152,125,56,408,439,93,298,11,14.0,5.0,,4.0
1107,2018,380,177,504,364,304,783,91,339,360,225,750,749,133,146,141,81,388,492,76,314,10,10.0,4.0,1.0,6.0
1107,2019,304,267,556,437,501,750,76,217,287,110,782,779,113,187,140,73,388,408,105,265,15,2.0,1.0,5.0,
1108,2010,266,136,663,638,302,703,99,457,353,213,624,579,92,212,242,130,269,442,89,296,29,6.0,,9.0,4.0
1108,2011,213,100,562,433,225,621,89,467,281,185,494,498,86,193,219,150,225,457,68,252,35,15.0,1.0,8.0,8.0
1108,2012,242,112,547,447,265,583,92,359,247,194,1030,1025,97,185,144,145,260,377,108,234,36,11.0,1.0,8.0,4.0
1108,2013,237,145,594,461,349,675,115,373,295,200,1128,1131,115,200,203,210,271,394,118,274,34,4.0,5.0,8.0,1.0
1108,2014,256,124,525,326,289,580,104,331,270,162,1168,1161,85,153,179,123,251,402,126,236,52,10.0,1.0,12.0,2.0
1108,2015,323,146,538,350,368,618,81,378,339,152,918,922,94,176,190,146,261,423,105,292,37,8.0,5.0,7.0,5.0
1108,2016,241,168,504,399,369,644,108,318,355,169,865,858,120,122,167,107,254,411,52,232,26,26.0,7.0,5.0,1.0
1108,2017,290,170,527,395,373,725,94,339,327,159,994,991,93,159,157,71,315,337,61,202,9,15.0,5.0,1.0,6.0
1108,2018,270,195,546,408,390,664,76,296,264,163,829,828,98,163,131,73,330,381,58,212,21,9.0,1.0,5.0,5.0
1108,2019,252,165,486,440,363,609,94,296,287,149,873,871,80,177,149,73,304,296,57,212,14,4.0,2.0,2.0,
1110,2010,313,184,589,458,350,793,81,363,304,154,613,616,112,109,153,93,447,395,114,208,28,2.0,,1.0,
1110,2011,308,188,558,347,368,756,86,333,287,182,676,677,112,127,150,85,430,431,78,181,33,5.0,2.0,2.0,2.0
1110,2012,237,227,544,356,349,761,91,417,280,227,1149,1150,118,150,140,92,402,406,105,196,22,,3.0,2.0,2.0
1110,2013,265,177,431,364,312,703,75,329,270,149,761,762,130,101,121,66,348,326,109,232,21,4.0,2.0,,1.0
1110,2014,361,207,567,464,339,754,110,207,232,140,495,496,48,198,135,64,492,378,148,228,33,7.0,1.0,4.0,3.0
1110,2015,323,213,483,370,358,640,84,212,188,132,459,468,53,196,133,67,408,359,170,221,14,1.0,2.0,3.0,4.0
1110,2016,291,195,564,428,377,656,69,261,218,135,673,680,96,176,131,74,348,328,102,215,7,3.0,2.0,1.0,2.0
1110,2017,359,162,525,373,348,644,70,264,199,142,801,801,85,204,147,86,327,288,85,210,2,5.0,4.0,2.0,1.0
1110,2018,353,239,551,413,470,627,98,194,242,93,611,612,97,217,146,71,367,326,100,243,6,7.0,7.0,3.0,2.0
1110,2019,426,190,522,386,393,762,131,196,251,139,882,882,70,221,178,79,402,411,105,270,15,10.0,1.0,4.0,1.0
1111,2010,345,251,602,496,376,923,96,376,373,227,1241,1255,127,183,165,86,385,543,108,201,18,12.0,1.0,3.0,6.0
1111,2011,253,178,501,368,354,673,77,372,295,252,630,635,116,164,154,79,294,449,96,150,37,3.0,3.0,4.0,4.0
1111,2012,277,189,570,411,360,692,107,326,298,197,832,834,107,160,181,97,341,393,99,178,11,10.0,6.0,,6.0
1111,2013,285,187,547,390,326,686,105,340,309,192,639,646,80,185,166,87,327,431,135,241,42,12.0,5.0,7.0,4.0
1111,2014,271,121,526,327,291,574,66,328,334,167,596,604,106,156,183,93,255,381,97,245,18,6.0,6.0,3.0,2.0
1111,2015,287,186,551,398,402,680,61,287,331,139,966,969,117,121,142,67,318,381,99,264,22,3.0,9.0,3.0,1.0
1111,2016,231,256,666,462,464,748,103,350,393,200,1098,1095,115,127,186,92,358,493,81,256,25,7.0,1.0,4.0,5.0
1111,2017,212,179,481,288,340,548,62,192,239,86,812,811,61,100,135,69,269,318,53,202,22,7.0,1.0,3.0,1.0
1111,2018,334,264,586,420,530,814,103,227,346,143,1163,1156,114,169,197,94,367,454,90,295,33,12.0,,3.0,3.0
1111,2019,332,250,532,382,476,724,81,237,274,142,1037,1032,94,149,181,87,345,460,92,246,37,5.0,2.0,5.0,2.0
1112,2010,256,194,595,436,348,760,78,423,300,226,1463,1469,126,186,177,120,384,545,137,152,55,14.0,5.0,7.0,3.0
1112,2011,320,296,707,484,449,911,97,448,408,245,1710,1707,134,197,198,122,536,671,138,183,89,19.0,7.0,8.0,6.0
1112,2012,263,258,586,436,425,888,122,408,348,206,1265,1262,142,195,211,121,473,568,131,175,56,12.0,2.0,7.0,6.0
1112,2013,314,269,584,458,456,881,133,432,393,198,1231,1235,132,234,169,116,476,541,122,153,84,15.0,2.0,10.0,6.0
1112,2014,305,204,630,387,357,984,173,566,465,290,1275,1280,147,223,252,148,574,573,120,183,171,26.0,5.0,16.0,1.0
1112,2015,315,193,680,419,343,988,131,462,411,347,1458,1459,146,275,245,128,528,700,104,230,120,34.0,12.0,12.0,8.0
1112,2016,300,221,621,442,359,973,161,432,393,271,1372,1379,133,164,214,129,486,622,97,214,135,19.0,7.0,11.0,6.0
1112,2017,333,244,624,413,381,977,119,444,380,277,1358,1358,135,201,179,118,501,635,104,229,111,12.0,5.0,12.0,4.0
1112,2018,321,237,605,427,405,924,158,382,353,296,1080,1067,138,173,161,108,530,563,106,193,130,25.0,7.0,7.0,11.0
1112,2019,318,235,592,371,464,791,73,358,324,177,1256,1255,13,165,174,99,398,446,86,240,63,1.0,,5.0,4.0
1113,2010,271,271,542,392,464,769,79,265,281,153,1024,1027,117,216,156,90,461,445,87,167,45,3.0,1.0,5.0,4.0
1113,2011,228,240,570,379,444,701,115,322,290,176,1081,1084,115,196,151,88,463,305,109,183,68,7.0,2.0,4.0,9.0
1113,2012,259,181,546,505,316,713,123,277,262,154,804,813,115,173,170,89,377,402,112,175,57,3.0,3.0,14.0,7.0
1113,2013,358,250,550,445,472,923,211,293,338,197,806,809,152,222,216,114,496,458,117,284,87,10.0,3.0,10.0,8.0
1113,2014,336,268,634,377,420,891,182,303,280,164,960,957,127,167,217,114,471,546,90,282,64,4.0,2.0,9.0,6.0
1113,2015,361,231,637,474,429,819,78,286,365,139,1258,1271,136,199,223,116,431,511,118,286,63,15.0,6.0,2.0,2.0
1113,2016,307,254,653,384,502,783,86,336,394,168,956,959,116,170,197,101,405,499,85,276,54,13.0,4.0,5.0,8.0
1113,2017,300,328,557,344,568,773,106,315,304,173,780,771,136,194,147,80,430,489,88,252,78,9.0,9.0,15.0,7.0
1113,2018,336,288,604,343,504,811,114,254,315,162,943,936,131,209,184,116,458,581,78,249,88,14.0,8.0,17.0,14.0
1113,2019,315,232,643,435,448,890,103,286,389,156,933,932,80,199,273,126,435,556,78,293,133,15.0,8.0,17.0,4.0
1114,2010,252,171,562,377,281,660,70,331,268,156,755,759,120,132,171,94,319,465,123,227,20,8.0,1.0,1.0,8.0
1114,2011,266,230,707,400,355,758,80,429,345,202,1013,1016,108,194,194,98,383,536,140,264,30,21.0,10.0,1.0,9.0
1114,2012,233,157,591,373,315,696,93,414,289,211,827,830,112,190,164,89,297,453,117,226,25,5.0,1.0,1.0,6.0
1114,2013,271,156,617,480,305,704,115,455,345,215,903,899,116,202,204,120,352,482,111,203,39,18.0,4.0,6.0,10.0
1114,2014,282,145,656,401,321,751,114,398,340,227,794,801,98,172,168,98,336,529,129,270,47,17.0,6.0,5.0,10.0
1114,2015,267,208,572,313,404,707,79,328,312,182,804,802,105,171,161,82,363,437,106,258,36,19.0,7.0,,9.0
1114,2016,316,245,605,334,396,805,96,371,292,227,1663,1665,100,210,137,65,418,419,94,225,31,7.0,5.0,5.0,2.0
1114,2017,241,152,460,327,293,595,86,318,244,174,740,734,72,152,103,49,283,330,68,157,28,9.0,6.0,3.0,4.0
1114,2018,311,182,586,439,391,713,87,270,297,126,1007,1005,101,139,172,97,346,321,82,281,54,8.0,2.0,2.0,5.0
1114,2019,329,190,601,480,344,747,76,220,228,129,540,540,81,158,229,93,400,435,43,234,102,4.0,2.0,7.0,5.0
1115,2010,315,141,763,569,327,864,121,438,422,202,698,685,81,229,245,140,421,575,85,274,56,11.0,7.0,7.0,6.0
1115,2011,271,192,648,515,365,692,67,328,297,130,641,622,79,233,198,116,357,407,76,285,22,10.0,3.0,5.0,10.0
1115,2012,276,145,595,490,339,741,132,454,364,237,999,998,100,230,226,112,365,458,69,203,41,6.0,1.0,5.0,8.0
1115,2013,253,159,531,433,367,679,99,374,350,175,732,727,91,297,179,132,382,355,42,266,78,18.0,3.0,13.0,10.0
1115,2014,249,180,564,437,348,592,62,291,292,128,683,686,97,275,172,107,333,407,73,222,45,17.0,22.0,7.0,10.0
1115,2015,221,203,621,489,409,602,108,343,325,144,927,928,106,283,155,104,322,397,76,213,61,28.0,12.0,5.0,9.0
1115,2016,245,202,721,516,464,682,124,365,321,167,1070,1076,111,235,169,86,317,317,87,201,39,21.0,8.0,11.0,4.0
1115,2017,172,149,538,436,295,485,69,297,252,148,818,817,69,213,132,71,238,282,41,156,33,13.0,11.0,11.0,8.0
1115,2018,258,216,676,494,442,748,144,399,278,272,962,960,125,273,196,106,421,459,66,183,49,19.0,17.0,3.0,9.0
1115,2019,269,179,610,451,356,699,102,332,295,175,821,801,74,184,212,97,335,447,66,205,38,3.0,2.0,7.0,
1116,2010,357,201,595,439,378,752,130,367,351,178,1194,1194,129,232,220,134,440,532,123,276,77,16.0,2.0,7.0,8.0
1116,2011,294,204,560,411,359,731,182,375,332,178,1273,1275,114,225,184,101,373,475,103,236,69,11.0,2.0,5.0,5.0
1116,2012,358,205,617,415,375,719,160,409,363,188,887,888,100,265,183,111,436,478,108,259,46,11.0,5.0,4.0,5.0
1116,2013,375,192,648,372,447,734,159,433,386,174,966,969,124,295,196,116,475,462,106,217,92,19.0,7.0,4.0,1.0
1116,2014,316,253,706,392,445,818,189,483,404,247,1039,1042,134,287,199,132,521,614,116,244,94,18.0,3.0,2.0,2.0
1116,2015,321,238,681,430,443,820,168,547,470,292,1028,1028,139,277,193,123,579,593,122,206,98,29.0,7.0,15.0,10.0
1116,2016,313,216,687,357,328,812,165,590,374,266,958,968,120,237,194,118,520,519,88,182,72,16.0,8.0,1.0,4.0
1116,2017,423,233,739,428,405,896,172,544,401,266,1055,1055,108,278,175,121,501,628,91,212,46,29.0,5.0,3.0,5.0
1116,2018,348,269,700,381,410,856,163,510,351,244,976,974,115,218,217,148,501,540,74,183,122,22.0,4.0,7.0,6.0
1116,2019,314,241,658,425,463,745,156,388,328,141,886,883,123,265,244,143,513,484,81,182,139,10.0,2.0,12.0,
1117,2010,295,152,540,397,300,753,117,371,331,178,574,578,118,140,186,90,362,421,101,207,55,18.0,6.0,6.0,6.0
1117,2011,286,146,551,395,303,707,93,363,359,192,616,617,119,181,178,84,322,483,103,241,41,12.0,11.0,,11.0
1117,2012,334,172,519,451,285,733,76,395,374,169,570,573,117,195,206,109,316,468,120,284,36,14.0,4.0,3.0,8.0
1117,2013,266,183,500,372,413,702,89,318,368,157,584,596,113,241,194,108,301,491,110,239,25,21.0,7.0,3.0,14.0
1117,2014,295,267,541,376,425,753,85,279,281,159,558,568,118,201,175,95,401,515,128,228,8,18.0,3.0,3.0,7.0
1117,2015,247,156,480,378,331,689,85,372,302,184,497,499,109,145,138,74,301,358,103,212,22,21.0,14.0,4.0,3.0
1117,2016,259,170,574,384,369,837,127,377,311,247,683,687,117,137,165,92,349,509,96,256,14,19.0,19.0,3.0,12.0
1117,2017,338,176,545,339,292,640,67,232,285,104,827,821,93,137,195,101,324,383,82,253,29,14.0,3.0,4.0,2.0
1117,2018,329,217,555,395,436,663,82,296,336,189,766,767,121,195,155,76,310,421,93,271,19,17.0,3.0,5.0,6.0
1117,2019,323,216,644,416,453,738,121,302,385,164,990,989,48,156,177,91,331,499,92,285,30,1.0,,10.0,7.0
1119,2010,295,152,548,399,309,574,69,315,279,148,1435,1437,100,229,129,74,313,283,102,218,4,3.0,3.0,,2.0
1119,2011,229,257,583,407,438,674,47,310,304,185,1415,1420,109,157,122,55,389,351,106,207,8,3.0,,,4.0
1119,2012,272,226,565,445,418,677,55,225,235,132,1922,1924,111,170,139,70,380,418,111,261,13,1.0,,,2.0
1119,2013,294,242,581,423,411,761,93,266,316,170,2179,2179,108,148,145,82,423,449,108,240,22,4.0,,,2.0
1119,2014,362,226,549,390,443,660,127,256,338,151,2284,2283,109,178,154,77,422,396,126,259,28,10.0,5.0,,1.0
1119,2015,340,213,600,387,448,685,103,242,306,144,2194,2189,102,178,153,101,410,372,123,258,39,7.0,5.0,2.0,
1119,2016,361,287,611,440,571,910,118,260,391,171,1965,1964,121,153,172,87,484,443,106,324,24,15.0,2.0,2.0,2.0
1119,2017,389,276,601,465,510,856,57,243,297,126,1725,1724,108,167,159,78,496,339,85,270,10,8.0,5.0,1.0,
1119,2018,345,281,578,390,457,727,78,244,290,141,1780,1773,79,163,132,66,479,283,89,280,13,7.0,3.0,2.0,2.0
1119,2019,413,260,528,365,558,823,48,179,248,109,1498,1497,91,186,146,77,476,311,83,341,13,8.0,,1.0,1.0
1120,2010,323,258,616,428,528,709,88,230,371,147,923,920,113,243,204,120,400,442,101,255,69,16.0,4.0,12.0,7.0
1120,2011,257,146,623,429,309,659,97,375,372,169,1438,1441,115,228,193,109,335,421,118,278,43,29.0,21.0,8.0,5.0
1120,2012,272,156,573,420,361,724,148,343,338,174,1426,1430,124,199,180,103,386,394,102,238,67,27.0,16.0,15.0,7.0
1120,2013,285,183,656,427,406,765,121,368,329,168,1409,1413,103,222,161,104,396,439,133,262,73,17.0,11.0,4.0,11.0
1120,2014,296,172,643,363,382,691,134,277,330,165,1264,1273,126,183,185,85,349,526,103,262,64,26.0,4.0,8.0,7.0
1120,2015,310,247,690,439,458,720,85,287,341,131,1157,1165,131,228,253,144,356,591,88,322,26,15.0,14.0,4.0,11.0
1120,2016,249,272,657,428,527,788,126,268,346,122,1036,1035,127,166,230,126,352,472,51,278,68,13.0,6.0,16.0,18.0
1120,2017,287,289,668,434,500,802,162,335,367,144,1321,1324,114,234,234,153,421,562,70,241,117,24.0,11.0,21.0,9.0
1120,2018,297,324,668,410,584,882,180,363,407,147,1182,1180,123,252,168,112,481,647,48,226,107,31.0,6.0,17.0,14.0
1120,2019,297,388,634,413,631,746,162,247,399,94,1023,1021,119,316,181,96,490,456,55,233,121,19.0,6.0,19.0,
1122,2010,287,179,501,410,321,654,90,310,322,176,573,590,102,176,194,87,382,503,123,221,42,16.0,6.0,4.0,2.0
1122,2011,329,166,602,463,304,732,131,439,399,231,699,715,124,265,208,102,431,497,108,241,71,20.0,11.0,5.0,5.0
1122,2012,320,131,559,452,287,664,110,442,377,243,670,670,133,222,211,97,374,477,102,208,57,17.0,11.0,14.0,6.0
1122,2013,261,206,462,477,335,674,146,313,282,175,713,720,120,178,167,84,411,392,123,205,54,16.0,5.0,7.0,7.0
1122,2014,301,141,489,435,280,633,148,280,276,171,493,498,105,191,211,106,397,507,101,219,94,24.0,9.0,5.0,5.0
1122,2015,222,140,492,397,326,615,107,359,333,151,496,500,111,177,188,100,329,423,107,227,67,35.0,8.0,7.0,2.0
1122,2016,363,209,604,492,387,840,91,360,381,194,764,765,166,236,254,126,431,598,98,271,83,20.0,3.0,8.0,5.0
1122,2017,237,209,515,352,385,624,70,283,230,221,549,549,110,144,162,96,289,469,67,186,54,11.0,4.0,6.0,5.0
1122,2018,345,184,602,422,332,654,85,388,372,214,1131,1127,69,179,189,93,375,418,122,230,25,6.0,4.0,6.0,3.0
1122,2019,352,244,567,371,406,755,101,349,363,236,1060,1058,68,217,193,90,407,468,111,257,36,17.0,5.0,3.0,1.0
1123,2010,249,110,516,422,190,717,90,406,300,184,1148,1140,127,143,183,100,314,461,117,241,40,6.0,4.0,3.0,6.0
1123,2011,316,140,534,389,275,690,59,323,307,186,1210,1213,111,184,208,112,408,529,104,238,33,3.0,5.0,2.0,7.0
1123,2012,258,185,491,379,370,651,75,291,315,137,1089,1090,117,176,159,96,385,402,103,185,31,9.0,3.0,3.0,10.0
1123,2013,290,172,504,449,352,677,67,252,351,122,1075,1079,107,183,209,107,343,453,123,239,38,6.0,,5.0,6.0
1123,2014,268,180,587,478,392,660,63,209,337,106,1055,1060,101,126,172,74,342,428,109,265,33,9.0,3.0,6.0,5.0
1123,2015,247,223,561,408,441,643,68,260,292,144,1093,1094,112,150,144,72,357,375,119,183,9,8.0,4.0,,3.0
1123,2016,293,294,655,457,503,917,121,319,323,204,1180,1179,130,179,187,88,490,445,100,207,24,10.0,4.0,4.0,3.0
1123,2017,343,303,646,486,502,916,113,278,319,195,1245,1247,124,193,172,95,499,494,89,265,44,9.0,1.0,8.0,7.0
1123,2018,351,239,537,410,465,860,106,290,313,185,1007,1006,134,163,156,86,440,432,76,254,35,19.0,5.0,2.0,5.0
1123,2019,389,193,572,469,406,893,112,329,298,205,957,957,37,212,205,95,404,481,80,236,58,3.0,1.0,3.0,1.0
1124,2010,229,239,604,468,383,904,223,452,412,290,754,754,109,220,159,92,469,507,119,135,148,18.0,9.0,12.0,5.0
1124,2011,189,161,510,471,298,710,127,417,348,224,773,781,102,207,177,86,350,469,101,116,131,25.0,,15.0,4.0
1124,2012,262,250,656,508,408,879,167,469,455,272,1262,1264,134,277,169,97,544,562,126,217,164,18.0,10.0,15.0,6.0
1124,2013,275,241,603,410,446,872,156,418,406,250,1231,1244,134,230,195,112,529,520,134,229,132,24.0,11.0,17.0,4.0
1124,2014,233,259,622,415,422,871,195,384,493,248,1099,1110,145,182,248,135,517,607,119,265,127,23.0,8.0,18.0,5.0
1124,2015,276,224,535,411,363,790,124,333,470,156,943,954,116,255,195,108,471,461,109,251,81,41.0,41.0,12.0,3.0
1124,2016,291,204,644,417,342,761,129,433,448,285,973,981,118,256,184,108,563,537,99,227,71,37.0,18.0,12.0,8.0
1124,2017,206,209,548,430,374,796,154,447,408,300,819,822,109,172,148,87,495,417,83,117,103,16.0,8.0,5.0,2.0
1124,2018,240,191,564,419,354,810,134,460,366,306,841,838,104,172,135,91,444,436,76,144,82,21.0,10.0,11.0,6.0
1124,2019,246,254,607,425,494,787,152,390,428,223,841,838,97,196,197,102,443,407,75,132,89,4.0,9.0,12.0,
1125,2010,368,253,611,528,481,806,94,234,381,141,1542,1542,112,232,214,124,460,519,107,247,16,16.0,8.0,1.0,
1125,2011,442,327,729,481,537,807,118,244,451,136,1984,1985,122,338,188,99,569,575,67,301,13,26.0,19.0,,4.0
1125,2012,479,301,617,412,489,832,74,223,390,123,1649,1652,123,246,171,97,587,560,95,301,15,24.0,13.0,,4.0
1125,2013,388,257,567,415,433,699,82,206,285,156,1295,1300,99,293,131,71,481,416,66,233,16,32.0,6.0,3.0,1.0
1125,2014,407,311,722,452,487,784,84,233,301,158,1322,1331,120,238,170,108,541,581,108,232,50,15.0,10.0,2.0,2.0
1125,2015,344,314,530,438,519,766,63,189,295,121,1377,1387,121,201,150,70,483,388,94,195,32,15.0,11.0,2.0,4.0
1125,2016,396,330,625,437,576,801,74,162,265,110,1343,1345,59,140,151,72,532,452,130,165,32,20.0,5.0,1.0,3.0
1125,2017,320,288,484,354,558,733,70,121,235,92,991,991,97,125,96,57,442,352,73,169,33,4.0,4.0,3.0,
1125,2018,386,378,531,410,627,875,82,112,258,78,850,846,113,161,124,58,529,382,94,206,46,13.0,5.0,2.0,1.0
1125,2019,443,311,475,348,528,890,114,181,267,99,950,949,64,200,142,61,588,395,76,244,84,13.0,6.0,3.0,
